model1	model2	geneconfig	chrom	model1_start	model1_stop	model1_strand	model2_start	model2_end	model2_strand	ds	dn	dsdn
CC1G_05960	CC1G_05961	HeadtoTail	Ccin_Chr_3	131637	133017	+	134412	135835	+	1.55	0.06	27.71
CC1G_10479	CC1G_10480	HeadtoTail	Ccin_Chr_12	57766	58914	-	60051	61381	-	1.83	0.62	2.96
CC1G_10480	CC1G_15369	HeadtoTail	Ccin_Chr_12	60051	61381	-	62384	63668	-	2.05	0.56	3.67
CC1G_09205	CC1G_09204	HeadtoTail	Ccin_Chr_11	1792033	1792882	-	1793447	1794817	-	2.49	0.79	3.14
CC1G_05382	CC1G_05383	HeadtoTail	Ccin_Chr_8	177109	177952	+	178544	179451	+	1.27	0.19	6.84
CC1G_13239	CC1G_13240	HeadtoTail	Ccin_U358	935	2271	+	2900	4503	+	0.96	0.44	2.17
CC1G_02888	CC1G_12155	HeadtoTail	Ccin_Chr_1	498542	501865	-	516611	517000	-	NA	1.00	NA
CC1G_04043	CC1G_09863	HeadtoTail	Ccin_Chr_7	770818	774162	+	799296	800056	+	NA	1.09	NA
CC1G_14318	CC1G_14319	HeadtoTail	Ccin_Chr_4	318234	320318	-	320515	321011	-	NA	0.71	NA
CC1G_09243	CC1G_09242	HeadtoTail	Ccin_Chr_11	1697232	1700393	-	1700676	1703461	-	4.18	1.61	2.60
CC1G_02356	CC1G_14281	HeadtoTail	Ccin_Chr_3	3205395	3206478	+	3206891	3209624	+	2.68	1.35	1.98
CC1G_04060	CC1G_04061	HeadtoTail	Ccin_Chr_4	3235118	3235778	-	3236484	3237340	-	0.64	0.27	2.41
CC1G_07525	CC1G_07526	HeadtoTail	Ccin_Chr_6	1439343	1442587	-	1443511	1446577	-	1.94	0.26	7.53
CC1G_07524	CC1G_07525	HeadtoTail	Ccin_Chr_6	1435257	1438502	-	1439343	1442587	-	1.00	0.17	6.06
CC1G_05948	CC1G_05949	HeadtoTail	Ccin_Chr_7	2752415	2755023	+	2755252	2756893	+	1.93	1.27	1.52
CC1G_12386	CC1G_12387	HeadtoTail	Ccin_Chr_12	504552	506503	-	507113	511234	-	1.55	0.36	4.28
CC1G_15374	CC1G_15375	HeadtoTail	Ccin_Chr_12	105523	106113	-	106312	106813	-	2.34	1.16	2.03
CC1G_07660	CC1G_07661	HeadtoTail	Ccin_Chr_9	1465165	1466304	-	1467053	1468421	-	2.00	0.48	4.15
CC1G_05952	CC1G_05953	TailtoTail	Ccin_Chr_7	2760091	2763213	-	2764595	2768616	+	NA	0.61	NA
CC1G_10494	CC1G_10495	HeadtoTail	Ccin_Chr_12	90207	91666	+	92242	93646	+	2.11	0.73	2.87
CC1G_04646	CC1G_04647	HeadtoTail	Ccin_Chr_3	702232	703430	-	704996	706413	-	0.51	0.07	6.84
CC1G_14242	CC1G_14243	HeadtoTail	Ccin_Chr_3	2512989	2513108	+	2515228	2515347	+	0.40	0.01	34.98
CC1G_14774	CC1G_03967	HeadtoTail	Ccin_Chr_7	538982	539764	+	544307	546414	+	NA	1.02	NA
CC1G_07576	CC1G_07577	HeadtoTail	Ccin_Chr_4	2525493	2528083	-	2528360	2530446	-	NA	0.91	NA
CC1G_12261	CC1G_12262	HeadtoTail	Ccin_Chr_8	2036733	2039004	+	2039455	2041835	+	2.06	0.24	8.54
CC1G_09007	CC1G_09008	TailtoTail	Ccin_Chr_7	1692332	1695864	-	1696778	1701562	+	4.01	0.96	4.19
CC1G_13811	CC1G_11430	HeadtoTail	Ccin_Chr_1	4125330	4127718	-	4127985	4130336	-	5.17	0.35	14.82
CC1G_13810	CC1G_13811	HeadtoTail	Ccin_Chr_1	4122639	4124966	-	4125330	4127718	-	NA	0.27	NA
CC1G_04027	CC1G_04028	HeadtoTail	Ccin_Chr_7	718845	726213	-	727382	732248	-	0.68	0.21	3.21
CC1G_01545	CC1G_01546	HeadtoTail	Ccin_Chr_10	237565	239811	+	240069	242307	+	NA	0.20	NA
CC1G_01544	CC1G_01545	TailtoTail	Ccin_Chr_10	233758	235941	-	237565	239811	+	NA	0.40	NA
CC1G_00498	CC1G_00499	HeadtoTail	Ccin_Chr_1	3079371	3080907	+	3082733	3084184	+	5.23	0.57	9.15
CC1G_12410	CC1G_12411	HeadtoTail	Ccin_Chr_4	2186082	2187520	+	2189586	2191023	+	0.54	0.06	9.10
CC1G_13827	CC1G_10197	HeadtoTail	Ccin_Chr_2	252661	254518	-	256588	257375	-	NA	0.53	NA
CC1G_02267	CC1G_14271	HeadtoTail	Ccin_Chr_3	2963449	2965202	-	2965699	2967467	-	NA	0.71	NA
CC1G_05937	CC1G_14911	HeadtoTail	Ccin_Chr_7	2714960	2718883	+	2719421	2720267	+	2.05	0.59	3.46
CC1G_15177	CC1G_15178	HeadtoTail	Ccin_Chr_9	1193178	1196312	-	1196775	1199133	-	NA	0.56	NA
CC1G_12079	CC1G_12080	HeadtoHead	Ccin_Chr_1	598101	599307	+	599533	601244	-	3.07	0.96	3.19
CC1G_12342	CC1G_12343	HeadtoTail	Ccin_Chr_10	1384150	1386354	-	1387199	1389097	-	NA	0.57	NA
CC1G_12077	CC1G_12078	HeadtoTail	Ccin_Chr_1	594598	595687	+	596130	597828	+	2.15	0.90	2.39
CC1G_15457	CC1G_15458	HeadtoTail	Ccin_Chr_12	1735548	1738241	+	1738441	1741848	+	NA	1.29	NA
CC1G_14773	CC1G_14774	HeadtoTail	Ccin_Chr_7	535135	538772	+	538982	539764	+	2.95	0.60	4.92
CC1G_03099	CC1G_15078	HeadtoTail	Ccin_Chr_8	2253995	2254954	+	2255692	2256300	+	NA	0.76	NA
CC1G_09353	CC1G_09354	HeadtoTail	Ccin_Chr_3	1318794	1320459	+	1322382	1324384	+	NA	1.06	NA
CC1G_14785	CC1G_14786	HeadtoTail	Ccin_Chr_7	651793	653696	-	654087	656190	-	4.45	1.55	2.88
CC1G_14762	CC1G_14763	HeadtoTail	Ccin_Chr_7	319716	321017	-	321188	322508	-	NA	0.70	NA
CC1G_10220	CC1G_10221	HeadtoTail	Ccin_Chr_12	1946042	1947337	-	1947529	1948871	-	3.19	0.72	4.43
CC1G_10233	CC1G_10237	HeadtoTail	Ccin_Chr_12	1978310	1980255	-	1987595	1988131	-	NA	0.96	NA
CC1G_05071	CC1G_15059	HeadtoTail	Ccin_Chr_8	1983705	1984863	+	1992924	1998988	+	NA	1.15	NA
CC1G_15413	CC1G_15414	HeadtoTail	Ccin_Chr_12	762616	765041	-	765297	767646	-	NA	0.49	NA
CC1G_14574	CC1G_14575	HeadtoTail	Ccin_Chr_5	874348	874994	+	875341	876272	+	4.36	1.00	4.38
CC1G_06156	CC1G_06157	HeadtoTail	Ccin_Chr_2	3150548	3151341	-	3151813	3153050	-	1.62	1.45	1.11
CC1G_07921	CC1G_07922	HeadtoHead	Ccin_Chr_5	3160129	3161976	+	3162461	3164125	-	2.66	0.70	3.78
CC1G_12947	CC1G_12948	HeadtoTail	Ccin_Chr_6	876440	877774	+	877944	880041	+	NA	0.73	NA
CC1G_13027	CC1G_13026	HeadtoTail	Ccin_Chr_5	661959	662444	-	665161	665805	-	NA	1.22	NA
CC1G_15122	CC1G_15123	HeadtoTail	Ccin_Chr_9	306432	306794	+	307434	309904	+	NA	0.99	NA
CC1G_08829	CC1G_08830	HeadtoTail	Ccin_Chr_5	2861905	2863740	-	2864600	2866330	-	0.31	0.17	1.82
CC1G_07452	CC1G_07453	HeadtoTail	Ccin_Chr_9	501762	505084	+	505746	508365	+	NA	0.80	NA
CC1G_15121	CC1G_09373	HeadtoTail	Ccin_Chr_9	288439	290644	+	290674	291492	+	3.32	1.23	2.69
CC1G_02097	CC1G_02098	HeadtoTail	Ccin_Chr_10	1640080	1641295	-	1641655	1642489	-	0.86	0.31	2.77
CC1G_12692	CC1G_12693	HeadtoTail	Ccin_Chr_9	209702	211561	+	212749	215624	+	2.87	0.67	4.30
CC1G_07431	CC1G_07432	HeadtoTail	Ccin_Chr_9	427940	430848	+	431969	434525	+	NA	0.70	NA
CC1G_07031	CC1G_07032	HeadtoTail	Ccin_Chr_9	182865	185056	+	186279	189239	+	2.26	0.67	3.39
CC1G_15166	CC1G_02506	HeadtoTail	Ccin_Chr_9	992032	994193	+	995344	997222	+	2.96	0.35	8.36
CC1G_10360	CC1G_10359	HeadtoTail	Ccin_Chr_7	170319	171474	-	171879	175084	-	1.37	0.38	3.61
CC1G_06137	CC1G_06138	HeadtoTail	Ccin_Chr_2	3109991	3111852	+	3113143	3115247	+	NA	0.63	NA
CC1G_14012	CC1G_14013	HeadtoTail	Ccin_Chr_2	3105269	3107148	+	3107467	3107868	+	2.13	1.07	2.00
CC1G_13588	CC1G_13589	HeadtoTail	Ccin_Chr_1	706966	707367	-	707525	710165	-	2.59	1.31	1.98
CC1G_13589	CC1G_04351	HeadtoTail	Ccin_Chr_1	707525	710165	-	711026	713904	-	1.63	0.58	2.81
CC1G_05297	CC1G_05298	HeadtoTail	Ccin_Chr_11	981721	982428	-	983287	983890	-	2.45	0.38	6.38
