model1	model2	ds	dn	dsdn
Ccin:CC1G_10446T0	Ccin:CC1G_03941T0	2.76	1.02	2.70
Ccin:CC1G_08481T0	Ccin:CC1G_03941T0	2.14	0.70	3.07
Ccin:CC1G_12262T0	Ccin:CC1G_03941T0	NA	0.62	NA
Ccin:CC1G_15413T0	Ccin:CC1G_03941T0	NA	0.64	NA
Ccin:CC1G_14966T0	Ccin:CC1G_03941T0	3.34	0.61	5.49
Ccin:CC1G_15414T0	Ccin:CC1G_03941T0	NA	0.59	NA
Ccin:CC1G_09790T0	Ccin:CC1G_03941T0	NA	0.60	NA
Ccin:CC1G_12261T0	Ccin:CC1G_03941T0	NA	0.61	NA
Ccin:CC1G_09789T0	Ccin:CC1G_03941T0	NA	0.56	NA
Ccin:CC1G_09008T0	Ccin:CC1G_09507T0	3.21	0.47	6.84
Ccin:CC1G_07520T0	Ccin:CC1G_09507T0	0.31	0.10	3.02
Ccin:CC1G_07862T0	Ccin:CC1G_05418T0	3.88	0.98	3.97
Ccin:CC1G_08482T0	Ccin:CC1G_05418T0	5.12	0.57	8.91
Ccin:CC1G_07595T0	Ccin:CC1G_05418T0	NA	0.92	NA
Ccin:CC1G_08727T0	Ccin:CC1G_05418T0	3.21	0.88	3.66
Ccin:CC1G_15386T0	Ccin:CC1G_05418T0	3.42	0.96	3.57
Ccin:CC1G_10446T0	Ccin:CC1G_05418T0	2.87	0.96	2.99
Ccin:CC1G_08481T0	Ccin:CC1G_05418T0	NA	0.57	NA
Ccin:CC1G_12262T0	Ccin:CC1G_05418T0	2.98	0.59	5.06
Ccin:CC1G_15413T0	Ccin:CC1G_05418T0	NA	0.68	NA
Ccin:CC1G_08425T0	Ccin:CC1G_05418T0	NA	0.62	NA
Ccin:CC1G_03945T0	Ccin:CC1G_05418T0	NA	0.52	NA
Ccin:CC1G_01658T0	Ccin:CC1G_05418T0	NA	0.66	NA
Ccin:CC1G_08490T0	Ccin:CC1G_05418T0	NA	0.64	NA
Ccin:CC1G_14966T0	Ccin:CC1G_05418T0	NA	0.58	NA
Ccin:CC1G_15414T0	Ccin:CC1G_05418T0	3.66	0.60	6.10
Ccin:CC1G_09790T0	Ccin:CC1G_05418T0	2.55	0.60	4.27
Ccin:CC1G_06455T0	Ccin:CC1G_05418T0	NA	0.56	NA
Ccin:CC1G_12261T0	Ccin:CC1G_05418T0	NA	0.59	NA
Ccin:CC1G_03941T0	Ccin:CC1G_05418T0	NA	0.47	NA
Ccin:CC1G_15272T0	Ccin:CC1G_06127T0	NA	0.59	NA
Ccin:CC1G_02821T0	Ccin:CC1G_06127T0	NA	0.81	NA
Ccin:CC1G_09126T0	Ccin:CC1G_06127T0	NA	1.18	NA
Ccin:CC1G_09419T0	Ccin:CC1G_06127T0	NA	1.69	NA
Ccin:CC1G_13817T0	Ccin:CC1G_06127T0	NA	1.44	NA
Ccin:CC1G_02411T0	Ccin:CC1G_06127T0	2.71	1.52	1.78
Ccin:CC1G_09007T0	Ccin:CC1G_06127T0	3.67	0.91	4.02
Ccin:CC1G_01653T0	Ccin:CC1G_06127T0	3.81	1.59	2.40
Ccin:CC1G_07233T0	Ccin:CC1G_06127T0	NA	0.88	NA
Ccin:CC1G_05967T0	Ccin:CC1G_06127T0	NA	0.92	NA
Ccin:CC1G_03379T0	Ccin:CC1G_06127T0	1.73	0.48	3.60
Ccin:CC1G_08490T0	Ccin:CC1G_01546T0	NA	0.71	NA
Ccin:CC1G_14966T0	Ccin:CC1G_01546T0	NA	0.61	NA
Ccin:CC1G_15414T0	Ccin:CC1G_01546T0	NA	0.64	NA
Ccin:CC1G_09790T0	Ccin:CC1G_01546T0	NA	0.66	NA
Ccin:CC1G_12261T0	Ccin:CC1G_01546T0	NA	0.62	NA
Ccin:CC1G_06476T0	Ccin:CC1G_01546T0	2.86	0.58	4.92
Ccin:CC1G_13362T0	Ccin:CC1G_06127T0	2.08	0.48	4.30
Ccin:CC1G_03358T0	Ccin:CC1G_06127T0	1.96	0.46	4.26
Ccin:CC1G_09507T0	Ccin:CC1G_06127T0	1.63	0.36	4.54
Ccin:CC1G_04009T0	Ccin:CC1G_06127T0	0.74	0.22	3.42
Ccin:CC1G_12155T0	Ccin:CC1G_08028T0	1.68	0.80	2.10
Ccin:CC1G_05425T0	Ccin:CC1G_08028T0	1.77	0.46	3.84
Ccin:CC1G_07692T0	Ccin:CC1G_08028T0	5.03	1.54	3.26
Ccin:CC1G_15272T0	Ccin:CC1G_08028T0	NA	0.69	NA
Ccin:CC1G_02821T0	Ccin:CC1G_08028T0	NA	0.78	NA
Ccin:CC1G_03941T0	Ccin:CC1G_01546T0	2.64	0.45	5.83
Ccin:CC1G_05418T0	Ccin:CC1G_01546T0	4.89	0.47	10.34
Ccin:CC1G_09007T0	Ccin:CC1G_08028T0	NA	0.94	NA
Ccin:CC1G_08482T0	Ccin:CC1G_01542T0	NA	0.56	NA
Ccin:CC1G_01653T0	Ccin:CC1G_08028T0	3.84	1.69	2.27
Ccin:CC1G_09770T0	Ccin:CC1G_01542T0	NA	0.97	NA
Ccin:CC1G_07600T0	Ccin:CC1G_01542T0	3.91	1.04	3.77
Ccin:CC1G_09863T0	Ccin:CC1G_08028T0	4.11	0.19	21.67
Ccin:CC1G_15386T0	Ccin:CC1G_01542T0	2.03	0.95	2.13
Ccin:CC1G_14954T0	Ccin:CC1G_08028T0	NA	0.45	NA
Ccin:CC1G_02804T0	Ccin:CC1G_08028T0	NA	0.59	NA
Ccin:CC1G_03378T0	Ccin:CC1G_08028T0	1.70	0.41	4.10
Ccin:CC1G_03379T0	Ccin:CC1G_08028T0	1.61	0.45	3.59
Ccin:CC1G_09008T0	Ccin:CC1G_08028T0	NA	0.48	NA
Ccin:CC1G_07520T0	Ccin:CC1G_08028T0	1.66	0.36	4.63
Ccin:CC1G_09507T0	Ccin:CC1G_08028T0	1.60	0.34	4.76
Ccin:CC1G_04009T0	Ccin:CC1G_08028T0	0.63	0.19	3.29
Ccin:CC1G_06127T0	Ccin:CC1G_08028T0	0.60	0.19	3.22
Ccin:CC1G_12155T0	Ccin:CC1G_04027T0	NA	0.84	NA
Ccin:CC1G_05425T0	Ccin:CC1G_04027T0	NA	0.50	NA
Ccin:CC1G_07692T0	Ccin:CC1G_04027T0	4.36	1.29	3.39
Ccin:CC1G_03941T0	Ccin:CC1G_01542T0	2.99	0.45	6.62
Ccin:CC1G_05418T0	Ccin:CC1G_01542T0	NA	0.43	NA
Ccin:CC1G_09770T0	Ccin:CC1G_01540T0	NA	0.90	NA
Ccin:CC1G_07600T0	Ccin:CC1G_01540T0	NA	0.88	NA
Ccin:CC1G_07595T0	Ccin:CC1G_01540T0	NA	0.91	NA
Ccin:CC1G_08727T0	Ccin:CC1G_01540T0	NA	0.89	NA
Ccin:CC1G_15386T0	Ccin:CC1G_01540T0	NA	0.92	NA
Ccin:CC1G_10446T0	Ccin:CC1G_01540T0	2.01	0.88	2.28
Ccin:CC1G_08481T0	Ccin:CC1G_01540T0	NA	0.59	NA
Ccin:CC1G_12262T0	Ccin:CC1G_01540T0	NA	0.59	NA
Ccin:CC1G_15413T0	Ccin:CC1G_01540T0	NA	0.61	NA
Ccin:CC1G_08425T0	Ccin:CC1G_01540T0	NA	0.62	NA
Ccin:CC1G_01658T0	Ccin:CC1G_01540T0	3.67	0.67	5.51
Ccin:CC1G_08490T0	Ccin:CC1G_01540T0	NA	0.65	NA
Ccin:CC1G_14966T0	Ccin:CC1G_01540T0	NA	0.57	NA
Ccin:CC1G_15414T0	Ccin:CC1G_01540T0	NA	0.56	NA
Ccin:CC1G_09790T0	Ccin:CC1G_01540T0	NA	0.56	NA
Ccin:CC1G_06455T0	Ccin:CC1G_01540T0	NA	0.57	NA
Ccin:CC1G_12261T0	Ccin:CC1G_01540T0	NA	0.58	NA
Ccin:CC1G_06476T0	Ccin:CC1G_01540T0	NA	0.53	NA
Ccin:CC1G_13811T0	Ccin:CC1G_01540T0	NA	0.44	NA
Ccin:CC1G_13340T0	Ccin:CC1G_01540T0	NA	0.44	NA
Ccin:CC1G_03941T0	Ccin:CC1G_01540T0	NA	0.44	NA
Ccin:CC1G_05418T0	Ccin:CC1G_01540T0	NA	0.41	NA
Ccin:CC1G_01546T0	Ccin:CC1G_01540T0	NA	0.38	NA
Ccin:CC1G_01542T0	Ccin:CC1G_01540T0	NA	0.41	NA
Ccin:CC1G_05975T0	Ccin:CC1G_01545T0	NA	0.85	NA
Ccin:CC1G_12263T0	Ccin:CC1G_01545T0	NA	0.43	NA
Ccin:CC1G_07964T0	Ccin:CC1G_01545T0	NA	1.00	NA
Ccin:CC1G_07862T0	Ccin:CC1G_01545T0	3.39	0.99	3.40
Ccin:CC1G_08482T0	Ccin:CC1G_01545T0	NA	0.58	NA
Ccin:CC1G_09770T0	Ccin:CC1G_01545T0	2.35	0.89	2.64
Ccin:CC1G_07600T0	Ccin:CC1G_01545T0	NA	0.92	NA
Ccin:CC1G_08727T0	Ccin:CC1G_01545T0	3.57	0.84	4.26
Ccin:CC1G_15386T0	Ccin:CC1G_01545T0	NA	0.92	NA
Ccin:CC1G_10446T0	Ccin:CC1G_01545T0	2.44	0.93	2.63
Ccin:CC1G_08481T0	Ccin:CC1G_01545T0	NA	0.66	NA
Ccin:CC1G_12262T0	Ccin:CC1G_01545T0	NA	0.58	NA
Ccin:CC1G_15413T0	Ccin:CC1G_01545T0	NA	0.64	NA
Ccin:CC1G_08425T0	Ccin:CC1G_01545T0	NA	0.68	NA
Ccin:CC1G_03945T0	Ccin:CC1G_01545T0	NA	0.55	NA
Ccin:CC1G_01658T0	Ccin:CC1G_01545T0	NA	0.64	NA
Ccin:CC1G_08490T0	Ccin:CC1G_01545T0	NA	0.69	NA
Ccin:CC1G_14966T0	Ccin:CC1G_01545T0	NA	0.59	NA
Ccin:CC1G_15414T0	Ccin:CC1G_01545T0	NA	0.59	NA
Ccin:CC1G_04027T0	Ccin:CC1G_04028T0	0.68	0.21	3.21
Ccin:CC1G_12155T0	Ccin:CC1G_04004T0	2.13	0.97	2.20
Ccin:CC1G_09790T0	Ccin:CC1G_01545T0	NA	0.62	NA
Ccin:CC1G_05425T0	Ccin:CC1G_04004T0	1.93	0.54	3.61
Ccin:CC1G_06455T0	Ccin:CC1G_01545T0	6.69	0.59	11.27
Ccin:CC1G_07692T0	Ccin:CC1G_04004T0	NA	1.28	NA
Ccin:CC1G_12261T0	Ccin:CC1G_01545T0	NA	0.59	NA
Ccin:CC1G_15272T0	Ccin:CC1G_04004T0	NA	0.66	NA
Ccin:CC1G_06476T0	Ccin:CC1G_01545T0	2.71	0.56	4.83
Ccin:CC1G_09789T0	Ccin:CC1G_01545T0	NA	0.56	NA
Ccin:CC1G_11430T0	Ccin:CC1G_01545T0	NA	0.49	NA
Ccin:CC1G_01548T0	Ccin:CC1G_01545T0	2.96	0.49	6.04
Ccin:CC1G_13811T0	Ccin:CC1G_01545T0	NA	0.45	NA
Ccin:CC1G_13810T0	Ccin:CC1G_01545T0	NA	0.42	NA
Ccin:CC1G_13340T0	Ccin:CC1G_01545T0	NA	0.46	NA
Ccin:CC1G_03941T0	Ccin:CC1G_01545T0	NA	0.47	NA
Ccin:CC1G_05418T0	Ccin:CC1G_01545T0	2.98	0.45	6.69
Ccin:CC1G_01546T0	Ccin:CC1G_01545T0	NA	0.20	NA
Ccin:CC1G_01542T0	Ccin:CC1G_01545T0	NA	0.42	NA
Ccin:CC1G_01540T0	Ccin:CC1G_01545T0	NA	0.37	NA
Ccin:CC1G_05975T0	Ccin:CC1G_01544T0	NA	0.77	NA
Ccin:CC1G_12263T0	Ccin:CC1G_01544T0	NA	0.37	NA
Ccin:CC1G_07964T0	Ccin:CC1G_01544T0	2.70	0.94	2.85
Ccin:CC1G_07862T0	Ccin:CC1G_01544T0	2.24	0.99	2.26
Ccin:CC1G_08482T0	Ccin:CC1G_01544T0	NA	0.57	NA
Ccin:CC1G_09770T0	Ccin:CC1G_01544T0	NA	0.89	NA
Ccin:CC1G_07600T0	Ccin:CC1G_01544T0	NA	0.99	NA
Ccin:CC1G_07595T0	Ccin:CC1G_01544T0	2.95	0.87	3.40
Ccin:CC1G_08727T0	Ccin:CC1G_01544T0	2.06	0.94	2.18
Ccin:CC1G_15386T0	Ccin:CC1G_01544T0	3.82	0.93	4.11
Ccin:CC1G_10446T0	Ccin:CC1G_01544T0	1.95	0.91	2.15
Ccin:CC1G_08481T0	Ccin:CC1G_01544T0	2.51	0.55	4.56
Ccin:CC1G_12262T0	Ccin:CC1G_01544T0	NA	0.63	NA
Ccin:CC1G_15413T0	Ccin:CC1G_01544T0	NA	0.64	NA
Ccin:CC1G_08425T0	Ccin:CC1G_01544T0	2.10	0.62	3.37
Ccin:CC1G_03945T0	Ccin:CC1G_01544T0	NA	0.52	NA
Ccin:CC1G_01658T0	Ccin:CC1G_01544T0	NA	0.64	NA
Ccin:CC1G_08490T0	Ccin:CC1G_01544T0	NA	0.64	NA
Ccin:CC1G_14966T0	Ccin:CC1G_01544T0	NA	0.61	NA
Ccin:CC1G_15414T0	Ccin:CC1G_01544T0	3.05	0.55	5.52
Ccin:CC1G_09790T0	Ccin:CC1G_01544T0	3.06	0.60	5.10
Ccin:CC1G_06455T0	Ccin:CC1G_01544T0	NA	0.56	NA
Ccin:CC1G_12261T0	Ccin:CC1G_01544T0	NA	0.63	NA
Ccin:CC1G_06476T0	Ccin:CC1G_01544T0	2.95	0.59	5.04
Ccin:CC1G_09789T0	Ccin:CC1G_01544T0	NA	0.53	NA
Ccin:CC1G_11430T0	Ccin:CC1G_01544T0	NA	0.53	NA
Ccin:CC1G_01548T0	Ccin:CC1G_01544T0	1.88	0.49	3.85
Ccin:CC1G_13811T0	Ccin:CC1G_01544T0	NA	0.44	NA
Ccin:CC1G_13810T0	Ccin:CC1G_01544T0	NA	0.44	NA
Ccin:CC1G_13340T0	Ccin:CC1G_01544T0	NA	0.43	NA
Ccin:CC1G_03941T0	Ccin:CC1G_01544T0	NA	0.42	NA
Ccin:CC1G_05418T0	Ccin:CC1G_01544T0	2.46	0.44	5.61
Ccin:CC1G_01546T0	Ccin:CC1G_01544T0	NA	0.45	NA
Ccin:CC1G_01542T0	Ccin:CC1G_01544T0	3.27	0.42	7.85
Ccin:CC1G_01540T0	Ccin:CC1G_01544T0	NA	0.42	NA
Ccin:CC1G_01545T0	Ccin:CC1G_01544T0	NA	0.40	NA
Ccin:CC1G_14451T0	Ccin:CC1G_06156T0	3.76	1.70	2.21
Ccin:CC1G_14451T0	Ccin:CC1G_06148T0	NA	1.45	NA
Ccin:CC1G_03379T0	Ccin:CC1G_04029T0	1.39	0.34	4.11
Ccin:CC1G_09008T0	Ccin:CC1G_04029T0	NA	0.49	NA
Ccin:CC1G_06156T0	Ccin:CC1G_06148T0	1.85	0.66	2.81
Ccin:CC1G_07520T0	Ccin:CC1G_04029T0	1.70	0.35	4.81
Ccin:CC1G_14451T0	Ccin:CC1G_14534T0	NA	1.37	NA
Ccin:CC1G_03366T0	Ccin:CC1G_04029T0	1.85	0.33	5.55
Ccin:CC1G_02818T0	Ccin:CC1G_04029T0	NA	0.53	NA
Ccin:CC1G_06156T0	Ccin:CC1G_14534T0	2.72	1.55	1.75
Ccin:CC1G_06148T0	Ccin:CC1G_14534T0	2.97	1.40	2.13
Ccin:CC1G_14451T0	Ccin:CC1G_10673T0	NA	1.55	NA
Ccin:CC1G_06156T0	Ccin:CC1G_10673T0	NA	1.59	NA
Ccin:CC1G_06148T0	Ccin:CC1G_10673T0	1.50	1.13	1.33
Ccin:CC1G_14534T0	Ccin:CC1G_10673T0	NA	1.44	NA
Ccin:CC1G_06156T0	Ccin:CC1G_15140T0	2.25	1.18	1.91
Ccin:CC1G_06148T0	Ccin:CC1G_15140T0	NA	1.34	NA
Ccin:CC1G_14534T0	Ccin:CC1G_15140T0	1.94	1.10	1.76
Ccin:CC1G_14451T0	Ccin:CC1G_10686T0	1.93	1.37	1.41
Ccin:CC1G_06156T0	Ccin:CC1G_10686T0	NA	1.24	NA
Ccin:CC1G_06148T0	Ccin:CC1G_10686T0	NA	1.21	NA
Ccin:CC1G_06148T0	Ccin:CC1G_13826T0	2.38	1.42	1.67
Ccin:CC1G_14534T0	Ccin:CC1G_13826T0	2.26	1.49	1.51
Ccin:CC1G_10673T0	Ccin:CC1G_13826T0	NA	1.20	NA
Ccin:CC1G_15140T0	Ccin:CC1G_13826T0	2.46	1.10	2.23
Ccin:CC1G_10686T0	Ccin:CC1G_13826T0	2.21	0.81	2.73
Ccin:CC1G_14451T0	Ccin:CC1G_02268T0	3.07	1.23	2.50
Ccin:CC1G_06156T0	Ccin:CC1G_02268T0	NA	1.39	NA
Ccin:CC1G_06148T0	Ccin:CC1G_02268T0	2.46	1.05	2.33
Ccin:CC1G_14534T0	Ccin:CC1G_02268T0	NA	1.42	NA
Ccin:CC1G_10673T0	Ccin:CC1G_02268T0	NA	1.48	NA
Ccin:CC1G_10673T0	Ccin:CC1G_03220T0	NA	1.19	NA
Ccin:CC1G_15140T0	Ccin:CC1G_03220T0	NA	1.11	NA
Ccin:CC1G_10686T0	Ccin:CC1G_03220T0	2.18	0.78	2.81
Ccin:CC1G_13826T0	Ccin:CC1G_03220T0	NA	1.39	NA
Ccin:CC1G_02268T0	Ccin:CC1G_03220T0	NA	1.69	NA
Ccin:CC1G_14451T0	Ccin:CC1G_10698T0	NA	1.30	NA
Ccin:CC1G_06156T0	Ccin:CC1G_10698T0	NA	1.64	NA
Ccin:CC1G_06148T0	Ccin:CC1G_10698T0	2.11	1.17	1.80
Ccin:CC1G_14534T0	Ccin:CC1G_10698T0	1.99	1.20	1.65
Ccin:CC1G_10673T0	Ccin:CC1G_10698T0	NA	1.08	NA
Ccin:CC1G_15140T0	Ccin:CC1G_10698T0	1.58	1.02	1.56
Ccin:CC1G_10686T0	Ccin:CC1G_10698T0	1.07	0.29	3.69
Ccin:CC1G_14451T0	Ccin:CC1G_08124T0	NA	1.13	NA
Ccin:CC1G_10686T0	Ccin:CC1G_08124T0	NA	0.89	NA
Ccin:CC1G_06606T0	Ccin:CC1G_05319T0	NA	0.76	NA
Ccin:CC1G_01112T0	Ccin:CC1G_12399T0	2.48	0.74	3.35
Ccin:CC1G_06148T0	Ccin:CC1G_13819T0	NA	1.34	NA
Ccin:CC1G_14534T0	Ccin:CC1G_13819T0	NA	0.97	NA
Ccin:CC1G_10673T0	Ccin:CC1G_13819T0	NA	1.28	NA
Ccin:CC1G_15140T0	Ccin:CC1G_13819T0	2.42	0.82	2.94
Ccin:CC1G_10686T0	Ccin:CC1G_13819T0	1.60	0.84	1.90
Ccin:CC1G_13826T0	Ccin:CC1G_13819T0	NA	1.13	NA
Ccin:CC1G_04496T0	Ccin:CC1G_06628T0	NA	0.54	NA
Ccin:CC1G_06628T0	Ccin:CC1G_05866T0	1.89	0.64	2.95
Ccin:CC1G_03095T0	Ccin:CC1G_05866T0	1.88	0.55	3.39
Ccin:CC1G_13826T0	Ccin:CC1G_10197T0	NA	0.97	NA
Ccin:CC1G_02268T0	Ccin:CC1G_10197T0	NA	1.04	NA
Ccin:CC1G_03220T0	Ccin:CC1G_10197T0	NA	0.92	NA
Ccin:CC1G_12363T0	Ccin:CC1G_14856T0	1.89	0.89	2.11
Ccin:CC1G_10698T0	Ccin:CC1G_10197T0	NA	0.71	NA
Ccin:CC1G_01795T0	Ccin:CC1G_11477T0	NA	0.74	NA
Ccin:CC1G_09902T0	Ccin:CC1G_11477T0	3.46	0.45	7.70
Ccin:CC1G_00652T0	Ccin:CC1G_06523T0	NA	0.63	NA
Ccin:CC1G_09902T0	Ccin:CC1G_06523T0	NA	0.50	NA
Ccin:CC1G_11477T0	Ccin:CC1G_06523T0	1.70	0.10	16.30
Ccin:CC1G_01598T0	Ccin:CC1G_00499T0	NA	1.11	NA
Ccin:CC1G_01598T0	Ccin:CC1G_06580T0	3.93	1.02	3.85
Ccin:CC1G_00499T0	Ccin:CC1G_06580T0	NA	0.53	NA
Ccin:CC1G_01598T0	Ccin:CC1G_00498T0	NA	1.01	NA
Ccin:CC1G_00499T0	Ccin:CC1G_00498T0	5.23	0.57	9.15
Ccin:CC1G_06580T0	Ccin:CC1G_00498T0	NA	0.56	NA
Ccin:CC1G_01598T0	Ccin:CC1G_04204T0	NA	0.57	NA
Ccin:CC1G_13819T0	Ccin:CC1G_12635T0	2.90	0.95	3.04
Ccin:CC1G_05949T0	Ccin:CC1G_10704T0	2.14	0.84	2.53
Ccin:CC1G_10197T0	Ccin:CC1G_12635T0	NA	0.80	NA
Ccin:CC1G_05915T0	Ccin:CC1G_06613T0	2.41	1.46	1.64
Ccin:CC1G_13449T0	Ccin:CC1G_12980T0	0.28	0.06	4.42
Ccin:CC1G_13449T0	Ccin:CC1G_13448T0	0.28	0.06	4.42
Ccin:CC1G_12980T0	Ccin:CC1G_13448T0	0.07	0.01	7.26
Ccin:CC1G_13449T0	Ccin:CC1G_12411T0	0.51	0.09	5.82
Ccin:CC1G_12980T0	Ccin:CC1G_12411T0	0.64	0.09	6.78
Ccin:CC1G_13449T0	Ccin:CC1G_12409T0	0.21	0.05	4.42
Ccin:CC1G_13448T0	Ccin:CC1G_12409T0	0.14	0.03	4.69
Ccin:CC1G_12411T0	Ccin:CC1G_12409T0	0.67	0.08	8.10
Ccin:CC1G_12980T0	Ccin:CC1G_12410T0	0.38	0.06	6.64
Ccin:CC1G_12411T0	Ccin:CC1G_12410T0	0.54	0.06	9.10
Ccin:CC1G_15587T0	Ccin:CC1G_10706T0	NA	0.79	NA
Ccin:CC1G_06156T0	Ccin:CC1G_02263T0	NA	1.78	NA
Ccin:CC1G_06148T0	Ccin:CC1G_02263T0	1.94	1.52	1.27
Ccin:CC1G_06292T0	Ccin:CC1G_11582T0	1.87	0.99	1.89
Ccin:CC1G_04835T0	Ccin:CC1G_11582T0	2.13	0.94	2.27
Ccin:CC1G_04835T0	Ccin:CC1G_05027T0	2.70	0.88	3.05
Ccin:CC1G_03429T0	Ccin:CC1G_02370T0	1.79	1.32	1.36
Ccin:CC1G_02370T0	Ccin:CC1G_11152T0	NA	1.31	NA
Ccin:CC1G_12824T0	Ccin:CC1G_12213T0	NA	0.64	NA
Ccin:CC1G_12824T0	Ccin:CC1G_13139T0	NA	0.72	NA
Ccin:CC1G_12214T0	Ccin:CC1G_06106T0	NA	1.14	NA
Ccin:CC1G_06148T0	Ccin:CC1G_14918T0	2.11	1.25	1.69
Ccin:CC1G_14534T0	Ccin:CC1G_14918T0	NA	1.52	NA
Ccin:CC1G_14548T0	Ccin:CC1G_14087T0	NA	1.28	NA
Ccin:CC1G_10673T0	Ccin:CC1G_14918T0	4.13	2.09	1.98
Ccin:CC1G_15587T0	Ccin:CC1G_14087T0	NA	1.10	NA
Ccin:CC1G_01563T0	Ccin:CC1G_06072T0	NA	0.48	NA
Ccin:CC1G_06072T0	Ccin:CC1G_01634T0	2.61	0.17	15.23
Ccin:CC1G_05940T0	Ccin:CC1G_07471T0	NA	0.78	NA
Ccin:CC1G_05897T0	Ccin:CC1G_07472T0	NA	0.78	NA
Ccin:CC1G_05940T0	Ccin:CC1G_07476T0	NA	0.70	NA
Ccin:CC1G_07471T0	Ccin:CC1G_07476T0	NA	0.55	NA
Ccin:CC1G_07472T0	Ccin:CC1G_07476T0	NA	0.57	NA
Ccin:CC1G_05940T0	Ccin:CC1G_05906T0	NA	0.63	NA
Ccin:CC1G_05897T0	Ccin:CC1G_05906T0	NA	0.56	NA
Ccin:CC1G_14534T0	Ccin:CC1G_02266T0	NA	0.99	NA
Ccin:CC1G_10673T0	Ccin:CC1G_02266T0	1.76	1.54	1.14
Ccin:CC1G_10701T0	Ccin:CC1G_10723T0	NA	1.16	NA
Ccin:CC1G_15140T0	Ccin:CC1G_02266T0	NA	0.95	NA
Ccin:CC1G_02356T0	Ccin:CC1G_10723T0	1.76	0.85	2.06
Ccin:CC1G_10686T0	Ccin:CC1G_02266T0	3.62	0.86	4.23
Ccin:CC1G_13826T0	Ccin:CC1G_02266T0	2.76	1.62	1.70
Ccin:CC1G_02268T0	Ccin:CC1G_02266T0	NA	0.91	NA
Ccin:CC1G_03220T0	Ccin:CC1G_02266T0	2.96	1.21	2.44
Ccin:CC1G_10698T0	Ccin:CC1G_02266T0	NA	1.35	NA
Ccin:CC1G_08124T0	Ccin:CC1G_02266T0	NA	1.11	NA
Ccin:CC1G_13819T0	Ccin:CC1G_02266T0	NA	1.29	NA
Ccin:CC1G_12635T0	Ccin:CC1G_02266T0	NA	1.20	NA
Ccin:CC1G_14534T0	Ccin:CC1G_02267T0	NA	0.99	NA
Ccin:CC1G_10673T0	Ccin:CC1G_02267T0	4.48	1.28	3.49
Ccin:CC1G_12363T0	Ccin:CC1G_10703T0	2.41	0.89	2.70
Ccin:CC1G_13826T0	Ccin:CC1G_08886T0	NA	1.11	NA
Ccin:CC1G_02268T0	Ccin:CC1G_08886T0	3.16	1.85	1.71
Ccin:CC1G_03220T0	Ccin:CC1G_08886T0	NA	1.13	NA
Ccin:CC1G_10698T0	Ccin:CC1G_08886T0	NA	1.23	NA
Ccin:CC1G_08124T0	Ccin:CC1G_08886T0	NA	1.17	NA
Ccin:CC1G_13819T0	Ccin:CC1G_08886T0	2.95	1.00	2.96
Ccin:CC1G_10197T0	Ccin:CC1G_08886T0	NA	0.96	NA
Ccin:CC1G_12635T0	Ccin:CC1G_08886T0	NA	1.00	NA
Ccin:CC1G_08902T0	Ccin:CC1G_08886T0	NA	0.67	NA
Ccin:CC1G_02263T0	Ccin:CC1G_08886T0	NA	0.95	NA
Ccin:CC1G_10673T0	Ccin:CC1G_14889T0	3.68	1.30	2.83
Ccin:CC1G_10706T0	Ccin:CC1G_11248T0	NA	1.22	NA
Ccin:CC1G_15140T0	Ccin:CC1G_14889T0	1.89	0.85	2.23
Ccin:CC1G_10686T0	Ccin:CC1G_14889T0	2.27	1.05	2.16
Ccin:CC1G_13826T0	Ccin:CC1G_14889T0	NA	1.38	NA
Ccin:CC1G_02268T0	Ccin:CC1G_14889T0	NA	1.12	NA
Ccin:CC1G_03220T0	Ccin:CC1G_14889T0	2.07	1.64	1.26
Ccin:CC1G_10698T0	Ccin:CC1G_14889T0	2.49	1.36	1.83
Ccin:CC1G_08124T0	Ccin:CC1G_14889T0	2.21	1.27	1.74
Ccin:CC1G_13819T0	Ccin:CC1G_14889T0	1.96	1.40	1.40
Ccin:CC1G_10673T0	Ccin:CC1G_03028T0	3.43	1.31	2.61
Ccin:CC1G_15140T0	Ccin:CC1G_03028T0	NA	0.96	NA
Ccin:CC1G_10686T0	Ccin:CC1G_03028T0	NA	0.92	NA
Ccin:CC1G_13826T0	Ccin:CC1G_03028T0	2.99	1.03	2.90
Ccin:CC1G_02268T0	Ccin:CC1G_03028T0	NA	1.45	NA
Ccin:CC1G_03220T0	Ccin:CC1G_03028T0	NA	1.10	NA
Ccin:CC1G_14918T0	Ccin:CC1G_03028T0	NA	1.08	NA
Ccin:CC1G_02266T0	Ccin:CC1G_03028T0	NA	1.07	NA
Ccin:CC1G_02267T0	Ccin:CC1G_03028T0	NA	1.07	NA
Ccin:CC1G_08886T0	Ccin:CC1G_03028T0	NA	1.07	NA
Ccin:CC1G_14889T0	Ccin:CC1G_03028T0	3.69	1.45	2.55
Ccin:CC1G_14451T0	Ccin:CC1G_03221T0	NA	1.22	NA
Ccin:CC1G_06156T0	Ccin:CC1G_03221T0	NA	1.35	NA
Ccin:CC1G_06148T0	Ccin:CC1G_03221T0	2.54	1.15	2.21
Ccin:CC1G_14534T0	Ccin:CC1G_03221T0	NA	1.14	NA
Ccin:CC1G_10673T0	Ccin:CC1G_03221T0	3.25	1.25	2.61
